distance_to_pin,lie,strokes_to_hole_out
187.36111111111111,Fairway,3
10.5,Green,2
0.9444444444444444,Green,1
179.0,Tee Box,2
17.27777777777778,Green Side Bunker,1
401.0,Tee Box,4
143.05555555555554,Fairway,3
5.0,Green,2
0.3888888888888889,Green,1
468.0,Tee Box,5
205.36111111111111,Primary Rough,4
17.88888888888889,Green Side Bunker,3
2.611111111111111,Green,2
0.5555555555555556,Green,1
452.0,Tee Box,4
128.88888888888889,Primary Rough,3
12.555555555555555,Primary Rough,2
0.6388888888888888,Green,1
529.0,Tee Box,5
244.47222222222223,Fairway,4
25.916666666666668,Green Side Bunker,3
4.805555555555555,Green,2
0.08333333333333333,Green,1
477.0,Tee Box,4
198.19444444444446,Fairway,3
21.97222222222222,Green Side Bunker,2
0.8055555555555556,Green,1
459.0,Tee Box,3
192.52777777777777,Primary Rough,2
2.638888888888889,Green,1
222.0,Tee Box,3
13.86111111111111,Fairway,2
0.1388888888888889,Green,1
429.0,Tee Box,3
116.80555555555556,Fairway,2
6.111111111111111,Green,1
217.0,Tee Box,3
19.305555555555557,Green Side Bunker,2
0.3333333333333333,Green,1
374.0,Tee Box,4
93.83333333333333,Fairway,3
3.4722222222222223,Green,2
0.6111111111111112,Green,1
438.0,Tee Box,3
161.5,Primary Rough,2
0.8888888888888888,Green,1
516.0,Tee Box,4
244.22222222222223,Primary Rough,3
13.25,Fairway,2
0.4444444444444444,Green,1
215.0,Tee Box,4
22.083333333333332,Green Side Bunker,3
10.63888888888889,Primary Rough,2
1.9166666666666667,Green,1
439.0,Tee Box,4
168.5,Fairway Bunker,3
22.25,Primary Rough,2
1.1666666666666667,Green,1
404.0,Tee Box,3
126.69444444444444,Fairway,2
2.1666666666666665,Green,1
588.0,Tee Box,5
296.6666666666667,Primary Rough,4
235.5,Fairway,3
22.88888888888889,Green Side Bunker,2
3.4166666666666665,Green,1
459.0,Tee Box,4
179.0,Fairway,3
10.25,Green,2
0.5,Green,1
179.0,Tee Box,4
5.416666666666667,Green,3
2.4166666666666665,Green,2
0.6944444444444444,Green,1
401.0,Tee Box,4
94.80555555555556,Primary Rough,3
8.11111111111111,Green,2
0.2222222222222222,Green,1
452.0,Tee Box,4
146.77777777777777,Intermediate Rough,3
3.5277777777777777,Green,2
1.0555555555555556,Green,1
529.0,Tee Box,4
243.33333333333334,Intermediate Rough,3
15.13888888888889,Green,2
3.138888888888889,Green,1
477.0,Tee Box,3
186.77777777777777,Fairway Bunker,2
5.25,Green,1
459.0,Tee Box,4
178.91666666666666,Primary Rough,3
7.138888888888889,Green,2
0.5277777777777778,Green,1
222.0,Tee Box,3
15.833333333333334,Green Side Bunker,2
2.2777777777777777,Green,1
429.0,Tee Box,5
136.05555555555554,Primary Rough,4
131.25,Primary Rough,3
12.416666666666666,Primary Rough,2
1.5,Green,1
217.0,Tee Box,3
14.333333333333334,Green,2
1.0555555555555556,Green,1
374.0,Tee Box,4
98.83333333333333,Primary Rough,3
4.444444444444445,Green,2
0.4444444444444444,Green,1
438.0,Tee Box,4
142.22222222222223,Fairway,3
8.11111111111111,Green,2
0.4722222222222222,Green,1
516.0,Tee Box,5
217.72222222222223,Primary Rough,4
17.52777777777778,Primary Rough,3
9.555555555555555,Fringe,2
0.3055555555555556,Green,1
215.0,Tee Box,4
15.555555555555555,Primary Rough,3
4.222222222222222,Green,2
0.16666666666666666,Green,1
439.0,Tee Box,4
150.0,Fairway,3
8.13888888888889,Green,2
0.2777777777777778,Green,1
404.0,Tee Box,3
129.13888888888889,Fairway,2
6.083333333333333,Green,1
588.0,Tee Box,5
284.9166666666667,Fairway,4
18.583333333333332,Green Side Bunker,3
1.7222222222222223,Green,2
0.6944444444444444,Green,1
459.0,Tee Box,4
171.11111111111111,Fairway,3
33.94444444444444,Fairway,2
1.1944444444444444,Green,1
179.0,Tee Box,3
13.666666666666666,Green,2
1.25,Green,1
401.0,Tee Box,4
122.91666666666667,Intermediate Rough,3
8.055555555555555,Green,2
0.5277777777777778,Green,1
468.0,Tee Box,4
203.25,Fairway,3
5.638888888888889,Green,2
1.0277777777777777,Green,1
452.0,Tee Box,4
142.02777777777777,Fairway,3
6.027777777777778,Primary Rough,2
0.8611111111111112,Green,1
529.0,Tee Box,5
258.52777777777777,Fairway,4
39.30555555555556,Primary Rough,3
3.7222222222222223,Green,2
0.6388888888888888,Green,1
477.0,Tee Box,4
198.55555555555554,Intermediate Rough,3
5.861111111111111,Green,2
0.19444444444444445,Green,1
459.0,Tee Box,3
133.66666666666666,Fairway,2
3.0,Green,1
222.0,Tee Box,3
4.305555555555555,Green,2
0.75,Green,1
429.0,Tee Box,3
145.61111111111111,Fairway,2
2.888888888888889,Green,1
217.0,Tee Box,4
13.527777777777779,Fairway,3
2.7222222222222223,Green,2
0.19444444444444445,Green,1
374.0,Tee Box,4
107.52777777777777,Primary Rough,3
20.583333333333332,Fairway,2
1.3611111111111112,Green,1
438.0,Tee Box,4
152.69444444444446,Fairway,3
9.944444444444445,Green,2
0.6944444444444444,Green,1
516.0,Tee Box,4
207.25,Intermediate Rough,3
11.555555555555555,Intermediate Rough,2
0.1111111111111111,Green,1
215.0,Tee Box,3
18.88888888888889,Green Side Bunker,2
2.9722222222222223,Green,1
439.0,Tee Box,4
145.27777777777777,Intermediate Rough,3
5.277777777777778,Green,2
0.7222222222222222,Green,1
404.0,Tee Box,3
119.83333333333333,Fairway Bunker,2
3.6944444444444446,Green,1
588.0,Tee Box,5
288.05555555555554,Intermediate Rough,4
77.97222222222223,Fairway,3
9.305555555555555,Green,2
0.5,Green,1
459.0,Tee Box,3
175.66666666666666,Fairway,2
2.7777777777777777,Green,1
179.0,Tee Box,2
0.8055555555555556,Green,1
401.0,Tee Box,4
138.16666666666666,Fairway,3
3.388888888888889,Green,2
0.6388888888888888,Green,1
468.0,Tee Box,4
188.5,Intermediate Rough,3
14.0,Green,2
1.5277777777777777,Green,1
452.0,Tee Box,4
144.75,Primary Rough,3
11.88888888888889,Green,2
1.1388888888888888,Green,1
529.0,Tee Box,4
237.36111111111111,Intermediate Rough,3
17.97222222222222,Green Side Bunker,2
0.8333333333333334,Green,1
477.0,Tee Box,4
198.36111111111111,Intermediate Rough,3
4.75,Green,2
0.3888888888888889,Green,1
459.0,Tee Box,4
184.30555555555554,Primary Rough,3
15.333333333333334,Green,2
0.4166666666666667,Green,1
222.0,Tee Box,3
14.722222222222221,Green Side Bunker,2
2.0833333333333335,Green,1
429.0,Tee Box,4
113.97222222222223,Fairway,3
5.722222222222222,Green,2
0.4722222222222222,Green,1
217.0,Tee Box,3
17.88888888888889,Primary Rough,2
1.6388888888888888,Green,1
374.0,Tee Box,4
101.08333333333333,Fairway,3
8.083333333333334,Green,2
0.3055555555555556,Green,1
438.0,Tee Box,3
157.61111111111111,Fairway,2
0.5555555555555556,Green,1
516.0,Tee Box,4
202.11111111111111,Fairway,3
15.833333333333334,Green,2
0.75,Green,1
215.0,Tee Box,3
4.5,Green,2
0.6111111111111112,Green,1
439.0,Tee Box,4
157.91666666666666,Primary Rough,3
15.777777777777779,Green,2
1.1388888888888888,Green,1
404.0,Tee Box,4
128.36111111111111,Fairway,3
4.722222222222222,Green,2
0.5833333333333334,Green,1
588.0,Tee Box,5
306.30555555555554,Fairway,4
97.08333333333333,Fairway,3
4.555555555555555,Green,2
0.8333333333333334,Green,1
459.0,Tee Box,5
209.0,Primary Rough,4
21.47222222222222,Intermediate Rough,3
